epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4992.65,0.6176,1.07041,1.01904,0.91439,0.98879,0.98246,0.99156,0.92012,0.98897,0.98264,0.99159,0.8931,0.45347,0.72948,0.30487,0.831,0.00332917,0.00332917,0.00332917
2,9860.82,0.55642,0.84388,0.41578,0.87524,0.98112,0.97963,0.99132,0.91586,0.98128,0.97978,0.99112,0.89045,0.48498,0.73027,0.33155,0.84045,0.00653059,0.00653059,0.00653059
3,14725.1,0.60352,0.88845,0.44464,0.89021,0.97103,0.97296,0.98652,0.88987,0.97087,0.97356,0.98664,0.86427,0.53564,0.81262,0.37533,0.8591,0.0096,0.0096,0.0096
4,19582.6,0.60038,0.88638,0.43718,0.89051,0.94851,0.90323,0.95621,0.86504,0.94777,0.90275,0.95482,0.81311,0.51752,0.84915,0.40141,0.86603,0.009406,0.009406,0.009406
5,24489.1,0.54696,0.81805,0.38747,0.87279,0.98683,0.99135,0.99359,0.94083,0.98692,0.99145,0.99361,0.9143,0.41431,0.64964,0.26981,0.81918,0.009208,0.009208,0.009208
6,29354.9,0.51414,0.77612,0.35841,0.86311,0.99176,0.9949,0.9945,0.9475,0.99191,0.99505,0.99443,0.92038,0.39373,0.63827,0.25214,0.81357,0.00901,0.00901,0.00901
7,34246.7,0.49314,0.7528,0.34031,0.85752,0.99476,0.99638,0.99303,0.95078,0.9948,0.99642,0.99308,0.92536,0.36725,0.60076,0.23665,0.80446,0.008812,0.008812,0.008812
8,39648.1,0.47721,0.72953,0.32705,0.85307,0.99645,0.99879,0.99489,0.95877,0.99649,0.99883,0.99491,0.93172,0.35175,0.58229,0.22194,0.80088,0.008614,0.008614,0.008614
9,45047,0.46356,0.71514,0.31711,0.84788,0.9958,0.99683,0.99485,0.96181,0.99586,0.99689,0.99487,0.93799,0.33736,0.56998,0.21115,0.7969,0.008416,0.008416,0.008416
10,50450.8,0.4535,0.70317,0.30819,0.84665,0.99718,0.99867,0.99484,0.96436,0.99718,0.99866,0.99487,0.93847,0.32532,0.55508,0.20308,0.79396,0.008218,0.008218,0.008218
11,55842.8,0.44511,0.69068,0.3013,0.84416,0.9972,0.99911,0.9948,0.96648,0.99724,0.99915,0.99481,0.94212,0.31604,0.54564,0.19724,0.79148,0.00802,0.00802,0.00802
12,61230.2,0.43691,0.67894,0.29488,0.84211,0.99702,0.99802,0.99494,0.96767,0.99704,0.99804,0.99495,0.943,0.30831,0.53642,0.19063,0.78958,0.007822,0.007822,0.007822
13,66613.4,0.43085,0.67208,0.28915,0.84078,0.99696,0.99376,0.99455,0.96928,0.99698,0.99378,0.99456,0.9454,0.30289,0.5308,0.18604,0.78852,0.007624,0.007624,0.007624
14,71999.6,0.42476,0.66324,0.28547,0.83927,0.99777,0.99912,0.99497,0.97036,0.99779,0.99914,0.99498,0.94564,0.29895,0.52407,0.18234,0.78786,0.007426,0.007426,0.007426
